公司/城市,岗位,薪资,工作氛围/标签,预估加班程度,直达链接,更新日期
详见标题 (社区直招),[广州] 来 v2 捞一个安卓 泛娱乐社交 东南亚,面议/详见链接,V2EX 社区直招,⭐⭐⭐,https://www.v2ex.com/t/1202179,2026-03-30
详见标题 (社区直招),急招去中心化交易所可[remote]Staff / Principal Software Engineer - Mobile (React Native)(国际团队，纯英文面试）,面议/详见链接,V2EX 社区直招,⭐⭐⭐,https://www.v2ex.com/t/1202138,2026-03-30
详见标题 (社区直招),阿里云 Agentic Tools 开发专家 招聘（北京、杭州）,面议/详见链接,V2EX 社区直招,⭐⭐⭐,https://www.v2ex.com/t/1201977,2026-03-30
详见标题 (社区直招),字节跳动 SRE 坑有想来的吗,面议/详见链接,V2EX 社区直招,⭐⭐⭐,https://www.v2ex.com/t/1201882,2026-03-30
详见标题 (社区直招),主做 VibeCoding 中转站，招一个有程序员、IT 社区推广经验的运营人员,面议/详见链接,V2EX 社区直招,⭐⭐⭐,https://www.v2ex.com/t/1201735,2026-03-30
详见标题 (社区直招),[深圳][急招] 深信服 AI 方向内推，算法/Infra/Agent，校招社招都有,面议/详见链接,V2EX 社区直招,⭐⭐⭐,https://www.v2ex.com/t/1201733,2026-03-30
详见标题 (社区直招),[深圳/直招] 招 Web 3D/图形交互工程师（前端）,面议/详见链接,V2EX 社区直招,⭐⭐⭐,https://www.v2ex.com/t/1201712,2026-03-30
详见标题 (社区直招),[抖音电商] [团队直招] 招聘 2027 届前端实习生啦！⚡️⚡️🔥🔥👏👏,面议/详见链接,V2EX 社区直招,⭐⭐⭐,https://www.v2ex.com/t/1201681,2026-03-30
详见标题 (社区直招),[广州/西安]汇丰 IT 岗位内推（ Java /ETL/BA/PM 等）,面议/详见链接,V2EX 社区直招,⭐⭐⭐,https://www.v2ex.com/t/1201668,2026-03-30
详见标题 (社区直招),[拼多多 * 团队内部直招！ * web 前端] 大量 hc，实习生、校招生、社招岗位 皆有~,面议/详见链接,V2EX 社区直招,⭐⭐⭐,https://www.v2ex.com/t/1201555,2026-03-30
